[00:00:04--00:00:06] 我觉得给通用Editor换个描述方式
[02:09:51--02:09:52] 正式的这种展示
[02:09:52--02:09:53] 带有价格的
[02:09:53--02:09:54] 对
[02:09:54--02:09:56] 一个非常重要的
[02:09:56--02:09:59] 就是我们真的能做出来一辆车
[02:09:59--02:10:01] 这个车特别受用户喜欢
[02:10:01--02:10:04] 然后在上海车站的展馆里面
[02:10:04--02:10:07] 我们是人流量最大的一个展台
[02:10:07--02:10:09] 然后因为我们是
[02:10:09--02:10:11] 从什么都没有开始来做的
[02:10:11--02:10:12] 我觉得这是一个
[02:10:12--02:10:14] 然后
[02:10:14--02:10:17] 我觉得另外一个应该是
[02:10:17--02:10:19] 这个2022年
[02:10:19--02:10:20] 然后发布L9的时候
[02:10:20--02:10:22] 我觉得那个真的是一个
[02:10:22--02:10:23] 全世界最卓越的一个产品
[02:10:23--02:10:25] 然后
[02:10:25--02:10:28] 到了今天2025年了
[02:10:28--02:10:31] 能看到至少有五个以上的企业
[02:10:31--02:10:33] 是因为当时L9的成功
[02:10:33--02:10:34] 所以在今天
[02:10:34--02:10:37] 然后在打造跟L9相同的产品
[02:10:37--02:10:39] 所以脑海里浮现的都是
[02:10:39--02:10:40] 幸福的时候
[02:10:40--02:10:42] 而不是痛苦的时候
[02:10:42--02:10:44] 你有痛苦的时候会回忆到吗
[02:10:44--02:10:45] 太多了
[02:10:45--02:10:47] 太多了
[02:10:47--02:10:47] 然后
[02:10:47--02:10:51] 就在刚经历了L9的幸福
[02:10:51--02:10:53] 就出现了
[02:10:53--02:10:53] 全网的
[02:10:53--02:10:54] 黑公关
[02:10:54--02:10:57] 然后说理想汽车倒闭
[02:10:57--02:10:57] 对吧
[02:10:57--02:11:00] 然后那一个季度我们亏了
[02:11:00--02:11:01] 十几个亿将近二十个亿
[02:11:01--02:11:03] 原来从来没亏过那么多
[02:11:03--02:11:03] 对吧
[02:11:03--02:11:07] 然后就忽然从巅峰就掉到谷底
[02:11:07--02:11:08] 对吧
[02:11:08--02:11:08] 然后
[02:11:08--02:11:09] 那好处还是我说的
[02:11:09--02:11:11] 其实我们认识到我们很多能力不足
[02:11:11--02:11:13] 我们就去补了很多能力
[02:11:13--02:11:13] 但是呢
[02:11:13--02:11:14] 正是因为这件事情
[02:11:14--02:11:16] 我们的调整又带来了
[02:11:16--02:11:18] 其实我们2023年
[02:11:18--02:11:20] 获得了一个接近三倍的增长
[02:11:20--02:11:23] 我们直接做到了1200亿的这个收入
[02:11:23--02:11:25] 我觉得有的时候
[02:11:25--02:11:27] 反正我创业那么多年了
[02:11:27--02:11:29] 很多时候当问题来的时候
[02:11:29--02:11:33] 然后又是一个更大的机会的到来
[02:11:33--02:11:35] 所以我对这方面其实也没那么纠结
[02:11:35--02:11:37] 我对于不正常的事情呢
[02:11:37--02:11:38] 耐受力很差
[02:11:38--02:11:41] 但是我对于一些不好的东西的话
[02:11:41--02:11:42] 解决完以后
[02:11:42--02:11:44] 我的这个整个记忆能力很差
[02:11:44--02:11:45] 就把它忘掉了
[02:11:45--02:11:46] 但你让我回顾
[02:11:46--02:11:47] 还是能回顾回来的
[02:11:47--02:11:50] 你可以删掉的记忆片段会是什么呢
[02:11:50--02:11:52] 我为了让自己有一个更好的一个正能量
[02:11:52--02:11:53] 我还是
[02:11:53--02:11:56] 只保留那些有价值的
[02:11:56--02:11:57] 然后美好的片段
[02:11:57--02:11:57] 对
[02:11:57--02:11:59] 然后哪怕是一个不好的东西
[02:11:59--02:12:00] 就刚才讲的说
[02:12:00--02:12:03] 我们被黑被打击
[02:12:03--02:12:05] 但我会转变成
[02:12:05--02:12:05] 其实看
[02:12:05--02:12:07] 正因为这件事情
[02:12:07--02:12:08] 我们增长了三倍
[02:12:08--02:12:10] 我们获取了其他新势力没有的能力
[02:12:10--02:12:13] 我们面临其他新势力没有的挑战
[02:12:13--02:12:15] 我会变成这样的一个方式来表达
[02:12:15--02:12:16] 这是一种心态
[02:12:16--02:12:17] 对
[02:12:17--02:12:17] 这是一种心态
[02:12:17--02:12:18] 对
[02:12:18--02:12:18] 我不希望
[02:12:18--02:12:20] 创业确实不容易
[02:12:20--02:12:21] 但是没必要苦哈哈的
[02:12:21--02:12:23] 没必要苦哈哈的
[02:12:23--02:12:25] 对苦哈哈的
[02:12:25--02:12:27] 就是苦和苦和甜
[02:12:27--02:12:29] 这是一个硬币的正反面
[02:12:29--02:12:30] 只是你选择看哪一面了
[02:12:30--02:12:33] 甜多还是苦多呢
[02:12:33--02:12:35] 如果按时间轴而言
[02:12:35--02:12:36] 肯定苦更多
[02:12:36--02:12:37] 对
[02:12:37--02:12:39] 但是你吃苦吃多了
[02:12:39--02:12:40] 也就也就习惯了
[02:12:40--02:12:40] 嗯
[02:12:40--02:12:43] 于凯博士第一次回忆
[02:12:43--02:12:44] 你跟你第一次见面啊
[02:12:44--02:12:46] 在杭州一起去爬山
[02:12:46--02:12:47] 就是湖湾大学的同学
[02:12:47--02:12:50] 然后他记得你那天穿了一个军大衣
[02:12:50--02:12:51] 我很好奇啊
[02:12:51--02:12:53] 就是当时那个于凯博士
[02:12:53--02:12:53] 见到你
[02:12:53--02:12:56] 你的那个军大衣里的里面
[02:12:56--02:12:57] 包裹的是一个什么样的灵魂
[02:12:57--02:12:59] 他跟今天发生什么样的变化
[02:12:59--02:13:00] 我觉得没什么变化
[02:13:00--02:13:03] 所以我甚至认为
[02:13:03--02:13:07] 我今天90%的状态啊
[02:13:07--02:13:08] 思维方式啊
[02:13:08--02:13:09] 其实跟我上高中的时候
[02:13:09--02:13:10] 是差不多的
[02:13:10--02:13:11] 嗯
[02:13:11--02:13:13] 遇到问题去解决问题
[02:13:13--02:13:15] 去解决那些
[02:13:15--02:13:16] 别人不愿意解决的问题
[02:13:16--02:13:18] 去解决消费者
[02:13:18--02:13:19] 遇到了最大的问题
[02:13:19--02:13:22] 去找更多的人去学习
[02:13:22--02:13:23] 那时候
[02:13:23--02:13:25] 我是个个人网站的站长
[02:13:25--02:13:26] 那时候又有合伙人
[02:13:26--02:13:28] 是站长里边少数的
[02:13:28--02:13:29] 还有小团队的
[02:13:29--02:13:31] 怎么去自己
[02:13:31--02:13:31] 靠自己能力不行
[02:13:31--02:13:33] 还要去靠
[02:13:33--02:13:34] 然后去靠别人
[02:13:34--02:13:34] 然后去
[02:13:34--02:13:35] 去完善能力
[02:13:35--02:13:37] 我觉得到今天为止没变化
[02:13:37--02:13:39] 只是解决的问题在变大
[02:13:39--02:13:41] 服务的用户群里在变大
[02:13:41--02:13:42] 公司的规模在变大
[02:13:42--02:13:43] 组织在变大
[02:13:43--02:13:45] 过去十年这所有的记忆里
[02:13:45--02:13:47] 如果能改变一个记忆
[02:13:47--02:13:48] 改变一个程序
[02:13:48--02:13:49] 你想改变什么
[02:13:49--02:13:52] 我觉得真没什么要改变的
[02:13:52--02:13:53] 嗯
[02:13:53--02:13:55] 然后我觉得
[02:13:55--02:13:56] 能赶上这么
[02:13:56--02:13:58] 能赶上这么一个时代
[02:13:58--02:14:00] 然后
[02:14:00--02:14:02] 用几次创业
[02:14:02--02:14:04] 还能一路走下来
[02:14:04--02:14:05] 在最难的时候
[02:14:05--02:14:06] 都有人来帮你
[02:14:06--02:14:08] 当你遇到问题的时候
[02:14:08--02:14:10] 总是能从坑里快速爬出来
[02:14:10--02:14:10] 一帮人齐心协力
[02:14:10--02:14:12] 然后变得更好
[02:14:12--02:14:13] 我觉得其实挺幸运的了
[02:14:13--02:14:14] 从运气的层面
[02:14:14--02:14:17] 还是从能够
[02:14:17--02:14:19] 这个创造出来的价值层面
[02:14:19--02:14:19] 我觉得
[02:14:19--02:14:20] 我觉得没什么
[02:14:20--02:14:21] 没什么可后悔的
[02:14:21--02:14:22] 挺好的
[02:14:22--02:14:23] 嗯
[02:14:23--02:14:25] 你刚刚说一个词是能量嘛
[02:14:25--02:14:26] 怎么让自己成为一个更有能量的人
[02:14:26--02:14:28] 更强大的人
[02:14:28--02:14:31] 或者是能吸引到更多能量的人
[02:14:31--02:14:33] 我觉得就是关注人
[02:14:33--02:14:33] 对
[02:14:33--02:14:36] 然后尤其是关注那些离你最近的人
[02:14:36--02:14:37] 要关注亲密关系的人
[02:14:37--02:14:38] 就我不是完整讲
[02:14:38--02:14:39] 我之前讲过
[02:14:39--02:14:42] 但是我觉得还是有必要完整的讲一下
[02:14:42--02:14:43] 就是关注人的时候
[02:14:43--02:14:44] 首先你得先关注自己嘛
[02:14:44--02:14:45] 嗯
[02:14:45--02:14:45] 对
[02:14:45--02:14:47] 然后我觉得
[02:14:47--02:14:49] 比如说如果所有自己我会
[02:14:49--02:14:50] 然后怎么来
[02:14:50--02:14:51] 怎么来看待自己为第一
[02:14:51--02:14:53] 然后我会接受自己所有的优点
[02:14:53--02:14:55] 我很多的身上的特质
[02:14:55--02:14:57] 然后这么多年的积累
[02:14:57--02:14:59] 或者我从DNA里带来的
[02:14:59--02:15:00] 其实它就是我的优势
[02:15:00--02:15:02] 我应该是怎么去发扬自己的优势
[02:15:02--02:15:02] 嗯
[02:15:02--02:15:04] 所以第二个是
[02:15:04--02:15:05] 然后我要能接受自己的不足
[02:15:05--02:15:09] 因为往往不足就是优势的另外一面
[02:15:09--02:15:11] 就这个人很擅长决策
[02:15:11--02:15:13] 可能他就没有办法
[02:15:13--02:15:15] 其实去做很细致的运营
[02:15:15--02:15:17] 因为这两件事是冲突的
[02:15:17--02:15:17] 嗯
[02:15:17--02:15:19] 有的人非常擅长运营
[02:15:19--02:15:21] 但可能他又很难跳出来
[02:15:21--02:15:22] 或者跳
[02:15:22--02:15:23] 跳好几个维度来
[02:15:23--02:15:24] 去做决策
[02:15:24--02:15:24] 对
[02:15:24--02:15:25] 我觉得这个其实
[02:15:25--02:15:27] 然后一个人很懒
[02:15:27--02:15:29] 他可能是个极品的产品经理
[02:15:29--02:15:30] 对吧
[02:15:30--02:15:31] 但如果他很勤奋了
[02:15:31--02:15:33] 他应该是个非常好的业务运营
[02:15:33--02:15:33] 对吧
[02:15:33--02:15:35] 我觉得这是每个人是不一样的
[02:15:35--02:15:37] 然后往往我们如果要改的话
[02:15:37--02:15:38] 往往会变成
[02:15:38--02:15:40] 我会变成一个更差的别人
[02:15:40--02:15:42] 以及一个更糟糕的自己
[02:15:42--02:15:42] 嗯
[02:15:42--02:15:43] 所以我是这个
[02:15:43--02:15:44] 然后要接受自己的不足
[02:15:44--02:15:45] 我觉得第三个
[02:15:45--02:15:47] 其实是用成长替代改变
[02:15:47--02:15:48] 然后更重要的是
[02:15:48--02:15:49] 我又没有成长
[02:15:49--02:15:50] 我就说
[02:15:50--02:15:52] 其实我们在做七十压的时候
[02:15:52--02:15:53] 然后我说
[02:15:53--02:15:55] 做好业务就行了
[02:15:55--02:15:56] 资本根本不重要
[02:15:56--02:15:58] 那最后我们其实舍在了资本上
[02:15:58--02:15:59] 但是呢
[02:15:59--02:16:00] 然后在做理想汽车的时候
[02:16:00--02:16:01] 非常注重资本
[02:16:01--02:16:02] 对吧
[02:16:02--02:16:03] 然后请最好的FV
[02:16:03--02:16:05] 请最好的律所
[02:16:05--02:16:06] 嗯
[02:16:06--02:16:07] 然后股权架构的设计
[02:16:07--02:16:09] 对吧
[02:16:09--02:16:10] 然后投票权
[02:16:10--02:16:11] 那今天大家可以看到
[02:16:11--02:16:13] 所有的新势力企业里边
[02:16:13--02:16:15] 理想汽车的股权架构
[02:16:15--02:16:16] 治理结构
[02:16:16--02:16:18] 然后资本现金管理
[02:16:18--02:16:18] 都是做得最好的
[02:16:18--02:16:20] 那这个东西
[02:16:20--02:16:21] 我并没有改变我的业务
[02:16:21--02:16:23] 其实是我又增强了一个能力
[02:16:23--02:16:23] 对吧
[02:16:23--02:16:24] 所以它是个成长
[02:16:24--02:16:26] 那我们会面临方方面面的
[02:16:26--02:16:28] 这方面的能力的成长
[02:16:28--02:16:29] 那这时候你就能
[02:16:29--02:16:30] 你能给自己带来能量
[02:16:30--02:16:31] 嗯
[02:16:31--02:16:32] 你的成长其实有自己的能量
[02:16:32--02:16:33] 嗯
[02:16:33--02:16:35] 然后你又不跟自己纠结
[02:16:35--02:16:36] 对吧
[02:16:36--02:16:37] 那当有这个能力的时候
[02:16:37--02:16:37] 我们再看待别人
[02:16:37--02:16:38] 其实也是一样的
[02:16:38--02:16:40] 我们会先看别人的优点
[02:16:40--02:16:41] 对吧
[02:16:41--02:16:42] 我觉得这是非常重要的
[02:16:42--02:16:44] 这个优点怎么让它发挥出来
[02:16:44--02:16:45] 这优点能带来什么
[02:16:45--02:16:47] 不知道这优点怎么让它发挥
[02:16:47--02:16:47] 对吧
[02:16:47--02:16:48] 我觉得第二个
[02:16:48--02:16:50] 其实当看到别人不足的时候
[02:16:50--02:16:51] 其实根本不是问题
[02:16:51--02:16:53] 我从创业开始就有合伙人
[02:16:53--02:16:53] 对吧
[02:16:53--02:16:54] 反正就是我的互补
[02:16:54--02:16:55] 对
[02:16:55--02:16:57] 然后是我所不具备的
[02:16:57--02:16:58] 然后秦志就是我所不具备的
[02:16:58--02:17:00] 李铁 马东辉 谢岩
[02:17:00--02:17:01] 我所不具备的
[02:17:01--02:17:01] 对吧
[02:17:01--02:17:04] 所以当看到大家这些不足的时候
[02:17:04--02:17:05] 反而其实是我的价值
[02:17:05--02:17:06] 我有价值能帮助到他
[02:17:06--02:17:08] 他有价值能帮助到我
[02:17:08--02:17:09] 我觉得第三个一样
[02:17:09--02:17:10] 就是看别人的成长
[02:17:10--02:17:12] 对吧
[02:17:12--02:17:13] 你能看到孩子的成长
[02:17:13--02:17:14] 你能看到爱人的成长
[02:17:14--02:17:16] 你能看到身边每个同事的成长
[02:17:16--02:17:18] 其实这就有能量了
[02:17:18--02:17:19] 成长带来能量
[02:17:19--02:17:22] 对 因为变好就有能量嘛
[02:17:22--02:17:22] 嗯
[02:17:22--02:17:22] 对吧
[02:17:22--02:17:23] 而且你关注的事情
[02:17:23--02:17:24] 人的成长不是那些事
[02:17:24--02:17:25] 对吧
[02:17:25--02:17:26] 然后所以呢
[02:17:26--02:17:26] 你能第一
[02:17:26--02:17:27] 你能自己产生能量
[02:17:27--02:17:29] 第二你能够
[02:17:29--02:17:30] 然后带给别人能量
[02:17:30--02:17:32] 第三你能从别人的获取能量
[02:17:32--02:17:33] 因为别人给你能量
[02:17:33--02:17:34] 别人也不会丢掉能量
[02:17:34--02:17:34] 嗯
[02:17:34--02:17:35] 对吧
[02:17:35--02:17:36] 它是个辐射作用
[02:17:36--02:17:38] 随着自己的成长
[02:17:38--02:17:40] 然后开始有效的一些理解
[02:17:40--02:17:41] 那我觉得另外一方面
[02:17:41--02:17:43] 其实很重要的是亲密关系
[02:17:43--02:17:44] 我觉得亲密关系
[02:17:44--02:17:46] 其实是非常重要的
[02:17:46--02:17:47] 我觉得亲密关系里边
[02:17:47--02:17:48] 特别重要的一点
[02:17:48--02:17:49] 其实要关注人
[02:17:49--02:17:51] 就是其实是我需要我爱人
[02:17:51--02:17:52] 其实我需要我孩子
[02:17:52--02:17:53] 其实我需要我孩子
[02:17:53--02:17:53] 其实我需要我孩子
[02:17:53--02:17:54] 其实我需要
[02:17:54--02:17:55] 李铁 马东辉
[02:17:55--02:17:56] 我需要刘杰
[02:17:56--02:17:57] 谢伟国
[02:17:57--02:17:59] 然后范浩宇
[02:17:59--02:18:00] 对啊
[02:18:00--02:18:01] 然后甚至操作他们需要我
[02:18:01--02:18:02] 嗯
[02:18:02--02:18:03] 首先是我需要他们
[02:18:03--02:18:04] 其实才是他们需要我
[02:18:04--02:18:05] 那这时候
[02:18:05--02:18:07] 这些人的之间的连接
[02:18:07--02:18:07] 就不一样了
[02:18:07--02:18:08] 我们在一起就能形成
[02:18:08--02:18:10] 一个非常强的脑力
[02:18:10--02:18:11] 非常强的心力
[02:18:11--02:18:12] 嗯
[02:18:12--02:18:12] 对
[02:18:12--02:18:15] 然后形成特别好的一个能量
[02:18:15--02:18:16] 我觉得这个其实
[02:18:16--02:18:17] 是个特别重要的
[02:18:17--02:18:18] 而不是说
[02:18:18--02:18:20] 我对他们没有需求
[02:18:20--02:18:21] 因为没有需求的话
[02:18:21--02:18:21] 就会
[02:18:21--02:18:22] 也会进入到一个
[02:18:22--02:18:23] 糟糕的模式
[02:18:23--02:18:24] 里边就会
[02:18:24--02:18:25] 无视对方
[02:18:25--02:18:27] 要么要想着战胜对方
[02:18:27--02:18:28] 要么就逃避对方
[02:18:28--02:18:29] 对
[02:18:29--02:18:30] 然后
[02:18:30--02:18:31] 要么就变成内卷
[02:18:31--02:18:31] 嗯
[02:18:31--02:18:32] 要变成内斗
[02:18:32--02:18:33] 没有
[02:18:33--02:18:34] 对
[02:18:34--02:18:35] 在我身边的人
[02:18:35--02:18:36] 无论家里
[02:18:36--02:18:37] 还是工作
[02:18:37--02:18:39] 还是没有内斗
[02:18:39--02:18:39] 对
[02:18:39--02:18:42] 在七十二时代就没有内斗
[02:18:42--02:18:42] 对
[02:18:42--02:18:43] 那我觉得这个其实
[02:18:43--02:18:44] 而是要怎么来
[02:18:44--02:18:46] 大家相互能带来能量
[02:18:46--02:18:46] 对
[02:18:46--02:18:48] 我觉得这个其实是非常重要的
[02:18:48--02:18:49] 你最近
[02:18:49--02:18:51] 看见到的一个人是谁啊
[02:18:51--02:18:52] 我觉得在我的家里
[02:18:52--02:18:53] 非常有意思
[02:18:53--02:18:54] 一点
[02:18:54--02:18:54] 其实
[02:18:54--02:18:57] 过去我和我老婆之间相互支撑
[02:18:57--02:18:58] 还是有限的
[02:18:58--02:19:00] 我觉得
[02:19:00--02:19:01] 从去年年底春节过后
[02:19:01--02:19:02] 一个最大的变化
[02:19:02--02:19:04] 是我们家大女儿
[02:19:04--02:19:04] 对
[02:19:04--02:19:07] 她会形成了我们第三个支撑
[02:19:07--02:19:07] 对
[02:19:07--02:19:09] 因为她十四岁了
[02:19:09--02:19:10] 然后她对事情的理解
[02:19:10--02:19:12] 在发生了巨大的变化
[02:19:12--02:19:13] 她自己的三观
[02:19:13--02:19:14] 特别完善的形成
[02:19:14--02:19:16] 而且她超出了我们的预期
[02:19:16--02:19:17] 而且她有能力
[02:19:17--02:19:19] 跟我们做特别好的沟通了
[02:19:19--02:19:22] 关于她自己的人生规划
[02:19:22--02:19:23] 她自己的喜好
[02:19:23--02:19:24] 对
[02:19:24--02:19:27] 然后她自己对人和事物的理解
[02:19:27--02:19:28] 所以呢
[02:19:28--02:19:28] 这特别有意思
[02:19:28--02:19:31] 我们家里实现了一个三个人的支撑
[02:19:31--02:19:32] 对
[02:19:32--02:19:34] 这个其实是个非常
[02:19:34--02:19:36] 是个让家里能量在大幅的
[02:19:36--02:19:38] 家里的能量在大幅的提升
[02:19:38--02:19:40] 因为这些能量会影响到其他的孩子
[02:19:40--02:19:42] 像他们还没办法做成支撑
[02:19:42--02:19:42] 嗯
[02:19:42--02:19:44] 所以我这个其实
[02:19:44--02:19:45] 对
[02:19:45--02:19:46] 我每次跟老婆聊的时候
[02:19:46--02:19:48] 在聊到大女儿的时候
[02:19:48--02:19:49] 都是非常的非常的高兴
[02:19:49--02:19:50] 就没想到她十四岁
[02:19:50--02:19:52] 就能成为我们两个人的
[02:19:52--02:19:53] 然后
[02:19:53--02:19:54] 和我们两个人形成一个
[02:19:54--02:19:56] 一个三个人的支撑了
[02:19:56--02:19:57] 形成了最小的人数
[02:19:57--02:19:58] 对
[02:19:58--02:20:01] 我们我们能跟她一起去讨论很多问题了
[02:20:01--02:20:02] 我们可以讨论事情
[02:20:02--02:20:04] 可以讨论人
[02:20:04--02:20:06] 可以讨论一个不同的一个见解
[02:20:06--02:20:08] 也可以讨论她的规划
[02:20:08--02:20:09] 可以讨论其实怎么出去玩
[02:20:09--02:20:11] 可以讨论家里要解决一些什么问题
[02:20:11--02:20:12] 都可以了
[02:20:12--02:20:14] 我觉得这个特别好
[02:20:14--02:20:17] 有什么事情是你当爸爸之后才理解的
[02:20:17--02:20:20] 或者当爸爸对你自我有什么改变
[02:20:20--02:20:22] 或者更多的认识吗
[02:20:22--02:20:24] 三个
[02:20:24--02:20:25] 三个重要的一点
[02:20:25--02:20:27] 我觉得第一个
[02:20:27--02:20:29] 我每个孩子都是完全不一样的
[02:20:29--02:20:31] 所以让我认识到一个很重要的一点
[02:20:31--02:20:33] 其实怎么用好人
[02:20:33--02:20:34] 人是用来发挥的
[02:20:34--02:20:37] 人不是用来改变的
[02:20:37--02:20:38] 我觉得这是第一点
[02:20:38--02:20:39] 人是用来发挥的
[02:20:39--02:20:39] 不是用来改变的
[02:20:39--02:20:41] 应该让他发挥他的特长
[02:20:41--02:20:42] 特性
[02:20:42--02:20:42] 对
[02:20:42--02:20:44] 然后就是一个人是用来
[02:20:44--02:20:46] 去放大和发挥他的
[02:20:46--02:20:48] 而不是让他去改变的
[02:20:48--02:20:50] 因为我连孩子都不能改变
[02:20:50--02:20:51] 我觉得这是第一点
[02:20:51--02:20:52] 对
[02:20:52--02:20:53] 所以这时候
[02:20:53--02:20:54] 当你意识到这点
[02:20:54--02:20:55] 其实组织就很重要
[02:20:55--02:20:58] 因为你要把不同特点的人
[02:20:58--02:20:59] 不同擅长的人
[02:20:59--02:21:01] 其实组合在一起
[02:21:01--02:21:03] 就是个更完整的大脑
[02:21:03--02:21:05] 更完整的心脏
[02:21:05--02:21:07] 和更强的能量
[02:21:07--02:21:08] 我觉得这是第一点的
[02:21:08--02:21:10] 然后孩子以后会加强我这方面的认识
[02:21:10--02:21:11] 虽然过去的时候
[02:21:11--02:21:12] 书上很多人讲这些东西
[02:21:12--02:21:13] 但我听不懂
[02:21:13--02:21:15] 因为孩子以后才知道
[02:21:15--02:21:17] 才能开始真正的懂这些
[02:21:17--02:21:19] 然后我觉得第二点
[02:21:19--02:21:20] 我觉得第二个很重要的点
[02:21:20--02:21:22] 其实是意识到
[02:21:22--02:21:24] 一个问题其实
[02:21:24--02:21:25] 我会这么做
[02:21:25--02:21:26] 但是我从来没有意识到这背后的逻辑
[02:21:26--02:21:29] 就是对于身边的亲密关系而言
[02:21:29--02:21:33] 是我需要他们超过了他们需要我
[02:21:33--02:21:35] 其实我需要孩子
[02:21:35--02:21:37] 孩子让我变得更好
[02:21:37--02:21:38] 我需要我爱人
[02:21:38--02:21:39] 我爱人让我变得更好
[02:21:39--02:21:43] 我需要这些群组的负责人
[02:21:43--02:21:45] 我需要我下班的这些一级部门的负责人
[02:21:45--02:21:47] 是他们让我变得更好
[02:21:47--02:21:50] 他们对我的重要性
[02:21:50--02:21:52] 甚至我觉得超过了我对他们的重要性
[02:21:52--02:21:53] 至少我是这么认为的
[02:21:53--02:21:55] 所以我认为这是第二点
[02:21:55--02:21:56] 就是在亲密关系里
[02:21:56--02:22:01] 其实第一大胆的表达自己的需求
[02:22:01--02:22:03] 然后因为所有人都希望必需要
[02:22:03--02:22:06] 这会产生一个非常好的
[02:22:06--02:22:10] 然后一种能量的状态
[02:22:10--02:22:11] 我觉得第三点
[02:22:11--02:22:13] 我觉得孩子是用来完善我的
[02:22:13--02:22:15] 孩子的出现是帮我完善的
[02:22:15--02:22:16] 看到他以后
[02:22:16--02:22:19] 你就能看到自己的更多的不足
[02:22:19--02:22:20] 但是你接受了不足
[02:22:20--02:22:22] 你能看到更
[02:22:22--02:22:24] 更多的不同的人
[02:22:24--02:22:28] 因为孩子对你是没有掩饰的
[02:22:28--02:22:29] 因为每个孩子都是不一样的
[02:22:29--02:22:34] 他能让你把人看得更全面
[02:22:34--02:22:37] 然后把人看得更透彻
[02:22:37--02:22:40] 也能让你其实更好的去处理
[02:22:40--02:22:42] 任何人之间的关系
[02:22:42--02:22:45] 因为孩子你没得选
[02:22:45--02:22:47] 但你仍然要处理好
[02:22:47--02:22:49] 这其实对我们是个更大的一个挑战
[02:22:49--02:22:50] 那有了我需要你
[02:22:50--02:22:52] 比你需要我更多的人
[02:22:52--02:22:53] 你会更加主动
[02:22:53--02:22:54] 你会更加主动
[02:22:54--02:22:55] 你会更加主动
[02:22:55--02:22:56] 你会更加主动
[02:22:56--02:22:57] 你会更加主动
[02:22:57--02:22:58] 主动积极
[02:22:58--02:23:00] 对你会你真的会主动
[02:23:00--02:23:01] 会主动积极
[02:23:01--02:23:03] 不会等着很多事情然后去发生
[02:23:03--02:23:05] 很多事情都变成糟糕的结果
[02:23:05--02:23:06] 在去发生
[02:23:06--02:23:09] 你会以关注人的角度去理解
[02:23:09--02:23:11] 比如当你去关注孩子的需求的时候
[02:23:11--02:23:14] 他就更多的时候去去来讨论自己需求
[02:23:14--02:23:16] 当你去关注孩子擅长的时候
[02:23:16--02:23:19] 他也会不断去发扬自己的擅长
[02:23:19--02:23:21] 对因为每个都是不一样的
[02:23:21--02:23:21] 对
[02:23:22--02:23:25] 但是这时候其实就能量的主动权
[02:23:25--02:23:26] 又在我们自己手里
[02:23:26--02:23:27] 嗯
[02:23:27--02:23:28] 别人虽然别人能够带来的
[02:23:28--02:23:29] 能量主动权在我手里
[02:23:29--02:23:31] 我们可以主动去做很多的事情
[02:23:31--02:23:32] 嗯
[02:23:32--02:23:34] 构建家庭这个组织和构建公司这个组织
[02:23:34--02:23:35] 是什么不一样的
[02:23:35--02:23:37] 首先我认为同等的重要
[02:23:37--02:23:38] 我们工作的同事
[02:23:38--02:23:39] 对我们来讲是不是亲密关系
[02:23:39--02:23:40] 我说当然是了
[02:23:40--02:23:41] 为什么呢
[02:23:41--02:23:44] 因为对于今天我们作为任何一个人
[02:23:44--02:23:46] 对然后我们的工作体现
[02:23:46--02:23:49] 我们工作体现出来我们的社会价值
[02:23:49--02:23:50] 嗯
[02:23:50--02:23:52] 我也很现实也很合理的一点
[02:23:52--02:23:54] 比如说你是一个好的公司
[02:23:54--02:23:57] 对啊然后你是一个好的公司的管理岗位的人
[02:23:57--02:24:00] 然后你去这些最好的学校去面试的时候
[02:24:00--02:24:01] 带孩子去面试的时候
[02:24:01--02:24:02] 你都会优先被录取
[02:24:02--02:24:04] 但是呢这个东西到底合理吗
[02:24:04--02:24:05] 合理
[02:24:05--02:24:07] 是因为你作为一个好的公司
[02:24:07--02:24:08] 然后你在那岗位上
[02:24:08--02:24:10] 你创造更好的社会价值
[02:24:10--02:24:12] 你服务了更多的群体
[02:24:12--02:24:14] 你提供了更好的产品和服务
[02:24:14--02:24:16] 他们使用以后变得更好
[02:24:16--02:24:17] 对吧
[02:24:17--02:24:18] 所以我说这是非常重要
[02:24:18--02:24:20] 所以我说本身工作其实是我们的社会价值
[02:24:20--02:24:22] 一个人不能脱离社会价值
[02:24:22--02:24:25] 就当你有社会价值的时候你不知道
[02:24:25--02:24:26] 当你真正没有社会价值的时候
[02:24:26--02:24:28] 你会发现社会价值是如此的重要
[02:24:28--02:24:29] 嗯
[02:24:29--02:24:30] 所以工作好
[02:24:30--02:24:32] 然后为你的客户
[02:24:32--02:24:34] 对然后和企业一起来去创造价值
[02:24:34--02:24:35] 我觉得非常重要
[02:24:35--02:24:36] 这是你的社会价值
[02:24:36--02:24:39] 对然后另外一方面家庭其实是亲情价值
[02:24:39--02:24:42] 我觉得亲情价值的重点其实是幸福
[02:24:42--02:24:45] 对然后我觉得幸福其实就是高质量的陪伴
[02:24:45--02:24:46] 嗯
[02:24:46--02:24:48] 对我觉得这两个其实是不同的
[02:24:48--02:24:49] 但这两个又相辅相成的
[02:24:49--02:24:51] 更好的工作才有更好的生活
[02:24:52--02:24:55] 然后更好的生活会产生更好的能量
[02:24:55--02:24:57] 也让大家其实更好的工作
[02:24:57--02:24:58] 对吧
[02:24:58--02:25:00] 然后更好的去处理
[02:25:00--02:25:02] 然后这些连接的关系
[02:25:02--02:25:03] 更好的其实
[02:25:03--02:25:06] 然后有能量其实去把事情去把结果做的更好
