[00:00:02--00:00:04] 就在京都在鸭川边上
[02:34:01--02:34:03] 我觉得都很难讲透了
[02:34:03--02:34:05] 所以我们就选择OK
[02:34:05--02:34:08] 我就要在一个很具体的事情上
[02:34:08--02:34:08] 我真的做出单项
[02:34:08--02:34:09] 而且我自己有信心
[02:34:09--02:34:13] 我真的我自己用用出了单项门
[02:34:13--02:34:14] 然后把这个单项门推给大家
[02:34:14--02:34:16] 我现在说的产品做到哪一刻
[02:34:16--02:34:18] 你觉得这个产品是可以发的了
[02:34:18--02:34:21] 就是我拿他做出来的东西
[02:34:21--02:34:23] 然后去给大家讲
[02:34:23--02:34:25] 没有人觉得这是AI做出来的东西
[02:34:25--02:34:28] 而且大家都觉得做的特别好
[02:34:28--02:34:29] 他比人做的好吗
[02:34:29--02:34:32] 反正比我自己做的好太多了
[02:34:32--02:34:34] 就是我今天拿我自己产品做出来的PPT
[02:34:34--02:34:37] 远远超过我自己拿power and power的
[02:34:37--02:34:38] 我不管花了多少钱
[02:34:38--02:34:39] 花多少时间
[02:34:39--02:34:40] 我不管花多少时间
[02:34:40--02:34:41] 我都做不出那个效果
[02:34:41--02:34:43] 它是更好看
[02:34:43--02:34:44] 外观更好
[02:34:44--02:34:45] 还是逻辑更好
[02:34:45--02:34:47] 还是更深刻
[02:34:47--02:34:49] 是哪一方面的更好
[02:34:49--02:34:52] 我觉得就说PPT这个事
[02:34:52--02:34:53] 你说做PPT这个事
[02:34:53--02:34:55] 其实基本上就是三件事
[02:34:55--02:34:57] 第一件事是你要构建内容
[02:34:57--02:34:59] 我到底要讲啥
[02:34:59--02:35:01] 第二件事是我怎么把这个内容组织好
[02:35:01--02:35:01] 多少页
[02:35:01--02:35:02] 每页讲什么
[02:35:02--02:35:03] 这个里面逻辑是啥
[02:35:03--02:35:07] 每页内的东西又是什么逻辑
[02:35:07--02:35:07] 第三个问题是
[02:35:07--02:35:09] 怎么把它摆上去很好看
[02:35:09--02:35:10] 对吧
[02:35:10--02:35:15] 我觉得每个人的能力点都不太一样
[02:35:15--02:35:18] 我自己相对比较擅长的是
[02:35:18--02:35:20] 构建内容到梳理逻辑
[02:35:20--02:35:22] 我过去是比较擅长这个事的
[02:35:22--02:35:23] 但我可以明确的感觉到
[02:35:23--02:35:26] AI比我还更擅长这件事
[02:35:26--02:35:27] 就当我跟他去讲
[02:35:27--02:35:30] OK我大概想说这么个事
[02:35:30--02:35:32] 有这么几个维度
[02:35:32--02:35:36] 我觉得AI能够把这个理的逻辑
[02:35:36--02:35:37] 理得清楚的程度
[02:35:37--02:35:41] 以及甚至从中提炼出一些金句的精彩度
[02:35:41--02:35:42] 远远超过我
[02:35:42--02:35:44] 这是第一个能力
[02:35:44--02:35:48] 所以它已经超出了我的表达能力
[02:35:48--02:35:49] 第二个能力就是我要把这东西摆上去
[02:35:49--02:35:50] 还摆的很好看
[02:35:50--02:35:53] 这个本来就原来是我不擅长的
[02:35:53--02:35:55] 我原来的工作理由就是我肯定要找模板
[02:35:55--02:35:56] 打开WPS
[02:35:56--02:35:59] 在里面找我觉得比较漂亮的模板
[02:35:59--02:36:00] 但是问题在于那个模板
[02:36:00--02:36:02] 我跟那个模板
[02:36:02--02:36:04] 比如我这一页想讲的东西
[02:36:04--02:36:05] 跟那个模板的结
[02:36:05--02:36:07] 比如一共里面含了15页20页的东西
[02:36:07--02:36:09] 如果我找不到任何一页
[02:36:09--02:36:12] 跟我想表达的事一模一样
[02:36:12--02:36:13] 我就不会改了
[02:36:13--02:36:15] 因为我一点都不会设计
[02:36:15--02:36:16] 我真的一点都不会设计
[02:36:16--02:36:18] 我稍微一动它
[02:36:18--02:36:20] 它就不好看了
[02:36:20--02:36:20] 对
[02:36:20--02:36:22] 但是今天AI完全可以做到
[02:36:22--02:36:23] 你随便
[02:36:23--02:36:24] 你随便讲
[02:36:24--02:36:26] 你的逻辑
[02:36:26--02:36:27] 这个怎么设计都可以
[02:36:27--02:36:31] 但是我就能把你这个逻辑摆的最好看
[02:36:31--02:36:32] 完全可以做了
[02:36:32--02:36:36] 反正我自己拿我自己东西做出来的
[02:36:36--02:36:36] 对
[02:36:36--02:36:37] 反正我也可以给你看
[02:36:37--02:36:38] 我们的那个例子
[02:36:38--02:36:41] 我觉得这真不是我能做出来的样子
[02:36:41--02:36:44] 你们做的工作是context engineering吗
[02:36:44--02:36:44] 对
[02:36:44--02:36:46] 本账我觉得大家今天做的都是这个工作
[02:36:46--02:36:48] 你是基于什么模型
[02:36:48--02:36:50] 其实我们三个模型都在用
[02:36:50--02:36:51] 国外的是吧
[02:36:51--02:36:53] 对
[02:36:53--02:36:56] 我觉得大家都觉得过去一年
[02:36:56--02:36:59] 国内模型和海外模型的差距越来越小
[02:36:59--02:37:01] 但说实话
[02:37:01--02:37:03] 我的感觉是相反的
[02:37:03--02:37:06] 就是在23年
[02:37:06--02:37:07] 24年的时候
[02:37:07--02:37:10] 大家很多人还拿国内的模型挑一挑
[02:37:10--02:37:12] 然后或者是比如训一训
[02:37:12--02:37:14] 然后再去做一些事情
[02:37:14--02:37:15] 因为它有成本上的优势
[02:37:15--02:37:22] 我觉得今天就无脑选择那几个模型
[02:37:22--02:37:27] 因为其实我觉得可能不是说绝对意义上的差距在拉大
[02:37:27--02:37:32] 而是那几个模型率先迈过了一些非常关键的可用点
[02:37:32--02:37:35] 你比如说可能一开始在23年24年的时候
[02:37:35--02:37:36] 我们的模型随便刷60分
[02:37:37--02:37:39] 他们的模型75分
[02:37:39--02:37:40] 差15分
[02:37:40--02:37:43] 今天可能我们已经追到80分了
[02:37:43--02:37:44] 他90分
[02:37:44--02:37:45] 就差10分了
[02:37:45--02:37:47] 差的比原来少了
[02:37:47--02:37:51] 但是可能那个90分前面可能随便说85分或者是88分
[02:37:51--02:37:54] 是一个特别关键的
[02:37:54--02:37:56] 那个畸变点
[02:37:56--02:37:58] 然后那个畸变点你一旦没迈过去
[02:37:58--02:38:02] 即使你跟他差距好像就比如跑分拉近了
[02:38:02--02:38:03] 但其实没有意义
[02:38:03--02:38:05] 就是这个畸变点迈过去了
[02:38:05--02:38:07] 我就能用它干这个事儿
[02:38:07--02:38:08] 它没迈过去
[02:38:08--02:38:09] 我就不能拿它干这个事儿
[02:38:09--02:38:10] 我这最简单的一个
[02:38:10--02:38:12] 今天所有做agent的公司
[02:38:12--02:38:17] 没有哪个公司能够不依赖于Cloud的模型
[02:38:17--02:38:20] 没有一个能够不依赖于Cloud的模型
[02:38:20--02:38:20] 是呀
[02:38:20--02:38:22] 那Cloud反过来做你这个事儿
[02:38:22--02:38:23] 它也能覆盖你
[02:38:23--02:38:24] 是的
[02:38:24--02:38:27] 这就是
[02:38:27--02:38:29] 就是说回竞争这个问题
[02:38:29--02:38:29] 对吧
[02:38:29--02:38:30] 就是
[02:38:30--02:38:32] Inance有没有可能就是看到了这一点
[02:38:32--02:38:34] 所以决定了出售呢
[02:38:34--02:38:35] 我觉得有可能
[02:38:35--02:38:36] 有可能
[02:38:36--02:38:39] 我自己在这看待这个事儿的时候
[02:38:39--02:38:40] 我自己是这么看的
[02:38:40--02:38:42] 因为其实你看
[02:38:42--02:38:45] 我们想做这个事儿
[02:38:45--02:38:47] 面临的境有很多类型
[02:38:47--02:38:48] 对吧
[02:38:48--02:38:50] 包括了一堆初创公司
[02:38:50--02:38:52] 比我们跑得更快更早的
[02:38:52--02:38:52] 对吧
[02:38:52--02:38:57] 然后包括大模型公司
[02:38:57--02:38:58] 就是这个ChaiGPT也好
[02:38:58--02:38:59] 或者Cloud也好
[02:38:59--02:39:00] 对吧
[02:39:00--02:39:02] 甚至包括传统的
[02:39:02--02:39:03] 你的传统竞品
[02:39:03--02:39:03] 对吧
[02:39:03--02:39:04] 你Office也好
[02:39:04--02:39:06] Canva也好等等这些
[02:39:06--02:39:06] 对吧
[02:39:06--02:39:07] Adobe也好
[02:39:07--02:39:08] Adobe系列也好
[02:39:08--02:39:12] 坦白说我觉得里面最大的一个竞争问题
[02:39:12--02:39:13] 肯定大家
[02:39:13--02:39:15] 或者说大家考虑的最多的是来自Cloud
[02:39:15--02:39:18] 或者模型层公司的竞争压力
[02:39:18--02:39:21] 我对这个事儿的判断是有这么几点
[02:39:21--02:39:22] 第一点
[02:39:22--02:39:26] 如果我是模型层的公司
[02:39:26--02:39:31] 我作为认识一定是朝着自动化这个角度去做
[02:39:31--02:39:34] 自动化这个角度去做
[02:39:34--02:39:38] 这个想象力看起来大一些
[02:39:38--02:39:39] 大太多了
[02:39:39--02:39:43] 因为它确实可以突破人的限制
[02:39:43--02:39:47] 它的定价也会突破一个工具的限制
[02:39:47--02:39:48] 对
[02:39:48--02:39:51] 因为它其实是相当于完全进行社会生产力替代
[02:39:51--02:39:53] 它的第一步进行社会生产力替代之后
[02:39:53--02:39:55] 第二步一定是超越生产力
[02:39:55--02:39:55] 对吧
[02:39:55--02:39:58] 本来你比如人类加在一起能够生产的价值
[02:39:58--02:39:59] 假如10万亿美金
[02:39:59--02:40:00] 随便说
[02:40:00--02:40:03] 它只要能做到这10万亿美金的替换
[02:40:03--02:40:05] 它一定能做到100万亿美金
[02:40:05--02:40:07] 因为它是非常容易scale的
[02:40:07--02:40:07] 对吧
[02:40:07--02:40:10] 就是聪明的人聪明的脑子是很难scale的
[02:40:10--02:40:13] 但它一旦能够突破那个基点
[02:40:13--02:40:14] 它scale起来是无限的
[02:40:14--02:40:15] 对吧
[02:40:16--02:40:19] 然后包括大家现在开始讨论ASI
[02:40:19--02:40:19] 对吧
[02:40:19--02:40:21] 就是super agent intelligence
[02:40:21--02:40:23] 包括科学发现等等这些
[02:40:23--02:40:26] 就如果我是大明星公司
[02:40:26--02:40:30] 我绝对不会去卷怎么提高现在人类的能力这件事情
[02:40:30--02:40:33] 就它很人本主义
[02:40:33--02:40:34] 嗯
[02:40:34--02:40:35] 我觉得
[02:40:36--02:40:37] 嗯
[02:40:37--02:40:39] 如果我是大明星公司
[02:40:39--02:40:40] 我都不会这么选
[02:40:40--02:40:43] 但反过来我作为一个应用公司
[02:40:43--02:40:45] 我可以去做人本主义的事情
[02:40:45--02:40:48] 甚至也许这就是个阶段性的生意
[02:40:48--02:40:49] 极端情况下
[02:40:49--02:40:49] 嗯
[02:40:49--02:40:52] 就是20年之后或者10年之后
[02:40:52--02:40:53] 甚至可能5年之后
[02:40:53--02:40:56] 人就是没有办法再参与社会生产了
[02:40:56--02:40:57] 这不是没有可能发生
[02:40:57--02:41:01] 但我的之所以会选这个也有这个原因
[02:41:01--02:41:02] 是我觉得如果真的这一天发生了
[02:41:02--02:41:03] 对吧
[02:41:03--02:41:05] 就是大家都没发社会生产了
[02:41:05--02:41:06] 我们还讨论创业
[02:41:06--02:41:08] 讨论商业就就没什么意义吗
[02:41:08--02:41:11] 就是就以前只能假定它不发生
[02:41:11--02:41:11] 对吧
[02:41:11--02:41:13] 就你假定它不不会发生
[02:41:13--02:41:13] 对吧
[02:41:13--02:41:14] 就如果它真的发生
[02:41:14--02:41:17] 那我觉得今天我们都不该干
[02:41:17--02:41:18] 这里面的任何一件事情
[02:41:18--02:41:19] 啊
[02:41:19--02:41:21] 然后甚至我自己也不喜欢这样的事情
[02:41:21--02:41:24] 就如果我是那个为这件事添砖添柴的人
[02:41:24--02:41:26] 我我不是很开心
[02:41:26--02:41:26] 对
[02:41:26--02:41:29] 我觉得这个把人扔到车底下
[02:41:29--02:41:31] 这个真的是一件很好的事情吗
[02:41:31--02:41:32] 我印象特别深啊
[02:41:32--02:41:33] 就是这个有点年代感的
[02:41:33--02:41:36] 就是我不知道你听没听过这个广告语啊
[02:41:36--02:41:36] 就是
[02:41:36--02:41:38] 就是墨迹亚当年的广告语
[02:41:38--02:41:40] 科技以人为本
[02:41:40--02:41:41] 听过
[02:41:41--02:41:41] 对
[02:41:41--02:41:44] 我觉得这个思路过程都没人提了
[02:41:44--02:41:46] 现在提腾讯的科技向善
[02:41:46--02:41:46] 对对
[02:41:46--02:41:49] 科技向善其实是一个大的意思
[02:41:49--02:41:49] 对吧
[02:41:49--02:41:50] 就是
[02:41:50--02:41:51] 就
[02:41:51--02:41:52] 就是今天大模型的指向性
[02:41:52--02:41:57] 包括就是比如说马斯克的这个整体的这个努力的方向
[02:41:57--02:42:00] 他努力的方向就是把把人格剧出去嘛
[02:42:00--02:42:00] 对
[02:42:00--02:42:01] 哎
[02:42:01--02:42:02] 你们这个说的有点太宏大了
[02:42:02--02:42:06] 但确实我觉得这竞争当中我的第一个判断点是
[02:42:06--02:42:09] 我们在选的确实是一个故事更小的事情
[02:42:09--02:42:10] 这个故事真的没有那么性感
[02:42:10--02:42:13] 就是不是一个无限的事情
[02:42:13--02:42:17] 它还是一个让一部分人做到自己本来做不到的事情
[02:42:17--02:42:20] 他为这个做不到的能力去买单
[02:42:20--02:42:20] 嗯
[02:42:20--02:42:21] 啊
[02:42:21--02:42:22] 它是个有限价值啊
[02:42:22--02:42:24] 坦白说它是个有限价值
[02:42:24--02:42:26] 但我觉得也足够了
[02:42:26--02:42:28] 而且我自己也足够喜欢
[02:42:28--02:42:29] 这是第一个竞争的角度
[02:42:29--02:42:32] 第二个角度是如果你真的想要深入一个事情
[02:42:32--02:42:33] 就深入某一个任务
[02:42:33--02:42:36] 因为Cloud其实它现在就是整个就是
[02:42:36--02:42:37] Agent加Skill这套嘛
[02:42:37--02:42:39] 就Cloud Code Agent加Skill这套
[02:42:39--02:42:41] 我觉得非常非常通用
[02:42:41--02:42:42] 确实非常通用
[02:42:42--02:42:45] 大量的任务都会得到解决
[02:42:45--02:42:47] 且随着能力的模型能力的变强
[02:42:47--02:42:49] Skill越编越好
[02:42:49--02:42:54] 它是很自然的在所有任务里都都平均的往上抬升的
[02:42:54--02:42:57] 但你如果真的回到一个非常具体的任务上
[02:42:57--02:42:59] 你还是能找到很多点
[02:42:59--02:43:00] 你不去好好做
[02:43:00--02:43:02] 甚至跟模型都没有太大的关系啊
[02:43:02--02:43:04] 甚至跟模型都没有太大的关系
[02:43:04--02:43:05] 一些工程上的问题
[02:43:05--02:43:07] 纯工程的问题
[02:43:07--02:43:10] 你去做了就是比不做好很多
[02:43:10--02:43:13] 那这种情况下
[02:43:13--02:43:14] 大模型公司愿不愿意
[02:43:14--02:43:15] 我就举个特别简单的例子
[02:43:15--02:43:18] 你把一个HTML代码的网页
[02:43:18--02:43:23] 真的转成一个PPTX的一个文件
[02:43:23--02:43:25] 怎么样能尽可能保真
[02:43:25--02:43:26] 那这个就很难
[02:43:26--02:43:28] 你觉得大模型公司会干这种事吗
[02:43:28--02:43:30] 我觉得它永远不会干这种事
[02:43:30--02:43:34] 所以我自己的想法是
[02:43:34--02:43:35] 在很具体的任务上
[02:43:35--02:43:39] 做出至少目前
[02:43:39--02:43:42] 领先完全通用解法的单向门的体验
[02:43:42--02:43:45] 再加上一些在这个任务上
[02:43:45--02:43:47] 和别人都不一样
[02:43:47--02:43:49] 或者说在通用里很难解的
[02:43:49--02:43:52] 甚至是纯工程的事情你把它解好
[02:43:52--02:43:55] 我觉得就至少极端性的
[02:43:55--02:43:56] 你可以做一款好产品
[02:43:56--02:43:59] 然后剩下的就是你
[02:43:59--02:44:01] 你永远无法回答那个天问了
[02:44:01--02:44:02] 对吧
[02:44:02--02:44:05] 就是你用的都是大模型公司的能力
[02:44:05--02:44:06] 对
[02:44:06--02:44:08] 还有我要补充一点
[02:44:08--02:44:12] 至少在今天不同模型之间
[02:44:12--02:44:15] 它的长板确实还是不太一样
[02:44:15--02:44:16] 比如说今天我虽然说
[02:44:16--02:44:18] 所有的公司都离不开Cloud
[02:44:18--02:44:21] 但我们今天不是所有任务都用Cloud
[02:44:21--02:44:23] 哪类任务用
[02:44:23--02:44:27] 所有的to call类的都是要用Cloud的
[02:44:27--02:44:30] 今天凡是这行里真的深入去做的人都知道
[02:44:30--02:44:33] to call的准确率Cloud是断档领先
[02:44:33--02:44:35] 嗯
[02:44:35--02:44:39] 你比如说你去前端真正去画东西
[02:44:39--02:44:41] 真正要去把这个画出来
[02:44:41--02:44:43] 大家现在都基本上在换Gemini
[02:44:43--02:44:47] 因为Gemini的前端审美也就是好很多
[02:44:47--02:44:51] 所以我们现在有些地方还得用GBT
[02:44:51--02:44:54] 它在有些地方的表现会比这俩都好
[02:44:54--02:44:56] 所以这是我觉得模型公司做这个事
[02:44:56--02:44:57] 另外一个比较恶心的地方
[02:44:57--02:45:00] 它总不能够自己去混合这么多模型
[02:45:00--02:45:02] 对或者至少不会这么倾向
[02:45:02--02:45:05] 但你就是在面临一个
[02:45:05--02:45:08] 非常困难的竞争
[02:45:08--02:45:09] 这个确实是很现实的问题
[02:45:09--02:45:11] 确实很现实的问题
[02:45:11--02:45:13] 对我自己出来的前两年里
[02:45:13--02:45:18] 其实很有意义想要找到
[02:45:18--02:45:20] 能不能找一个人少一点的桌
[02:45:20--02:45:22] 对就是你比如说选新闻
[02:45:22--02:45:24] 就我也提到就是很重要的一个原因
[02:45:24--02:45:25] 就是这个对吧
[02:45:25--02:45:27] 就是就我非常清楚
[02:45:27--02:45:28] 大厂一定没法卷这个事
[02:45:28--02:45:30] 它卷不了
[02:45:30--02:45:33] 所以你在一个相对
[02:45:33--02:45:36] 从竞争的纯竞争的角度
[02:45:36--02:45:36] 啊
[02:45:36--02:45:37] 舒适一点的区域
[02:45:37--02:45:41] 但你也必须要认清楚一点
[02:45:41--02:45:43] 就是它一定不在那个
[02:45:43--02:45:45] 今天跟AI的智能升级
[02:45:45--02:45:46] 协力最大的地方
[02:45:46--02:45:49] 这也是本质上我为什么
[02:45:49--02:45:50] 除了做新闻游戏以外
[02:45:50--02:45:52] 一定要做AI应用的一个原因
[02:45:52--02:45:55] 就它确实肯定不是那个
[02:45:55--02:45:58] AI技术协力最大的地方
[02:45:58--02:46:00] 你一旦进入AI协力最大的地方呢
[02:46:00--02:46:03] 你又不太可能说它是个正确的事情
[02:46:03--02:46:05] 又人很少
[02:46:05--02:46:06] 所以这个就不太可能了
[02:46:06--02:46:10] 那个我记得我记得唐明森说的吧
[02:46:10--02:46:12] 就是说你选牌桌来吧
[02:46:12--02:46:15] 要不选一个人傻钱多的是最好的
[02:46:15--02:46:19] 但是你说在AI圈里选到一个人傻钱多的桌太难了
[02:46:19--02:46:21] 你要不选一个人强钱多
[02:46:21--02:46:23] 第二档是人强钱多的
[02:46:23--02:46:26] 那agent一定是个人强钱多的
[02:46:26--02:46:28] 这个这个这个这个桌对吧
[02:46:28--02:46:32] 然后你就想办法怎么去跟这些强人斗就好了
[02:46:32--02:46:33] 然后第三档是钱少人傻对吧啊
[02:46:33--02:46:34] 然后第三档是钱少人傻对吧啊
[02:46:34--02:46:34] 然后第三档是钱少人傻对吧啊
[02:46:34--02:46:34] 然后第三档是钱少人傻对吧啊
[02:46:34--02:46:34] 然后第三档是钱少人傻对吧啊
[02:46:34--02:46:36] 然后第三档是钱少人傻对吧啊
[02:46:36--02:46:37] 某种意义上选
[02:46:39--02:46:40] 比如新年这样的事情
[02:46:40--02:46:42] 某种意义上是不能叫人傻吧
[02:46:42--02:46:44] 但至少没有那么卷
[02:46:44--02:46:45] 没有那么卷
[02:46:45--02:46:48] 我们肯定不会去选一个钱少人强的地方
[02:46:48--02:46:49] 那就没有必要了
[02:46:49--02:46:53] 在游戏和agent上你自己怎么分配你的时间
[02:46:53--02:46:59] 我觉得游戏这个事情在最初的半年到一年里
[02:46:59--02:47:00] 我我管的会比较多
[02:47:00--02:47:04] 因为我觉得很多事的那个时间点是需要
[02:47:04--02:47:04] 啊
[02:47:04--02:47:05] 挑定下来的
[02:47:05--02:47:08] 比如说我们最后选择了单男主一个男主
[02:47:08--02:47:10] 选择了2D的画风
[02:47:10--02:47:12] Live2D这套方案
[02:47:12--02:47:14] 再比如说我们他的人设
[02:47:14--02:47:15] 为什么是这个人设
[02:47:15--02:47:18] 然后里面的到底哪些地方做AI
[02:47:18--02:47:20] 跟AI结合啊
[02:47:20--02:47:22] 要设计哪些AI的玩法
[02:47:22--02:47:23] 嗯
[02:47:23--02:47:26] 这个差不多在前半年到一年都定下来
[02:47:26--02:47:26] 因为游戏就是这样
[02:47:26--02:47:28] 你你定完之后不能轻易乱动
[02:47:28--02:47:30] 就是他他太长了
[02:47:30--02:47:33] 对你你你你中间一推翻的基本就是从头再来
[02:47:33--02:47:35] 所以在那个阶段
[02:47:35--02:47:38] 我觉得在游戏上花的精力还蛮多的
[02:47:38--02:47:42] 但目前这个游戏已经在量产的阶段了
[02:47:42--02:47:43] 内容量产的阶段了
[02:47:43--02:47:45] 我自己管的其实很少
[02:47:45--02:47:48] 因为我我确实不是目标用户
[02:47:48--02:47:54] 我觉得团队里的不管是策划美术文案运营
[02:47:54--02:47:56] 所有的人都比我懂
[02:47:56--02:47:59] 所以我现在管的就不会那么多
[02:47:59--02:48:02] 更多的时间还是在想agent
[02:48:02--02:48:03] 当然有另外一个原因
[02:48:03--02:48:08] 原因是前面摸索那些事的时候呢
[02:48:08--02:48:09] 你能够知道自己喜不喜欢
[02:48:09--02:48:10] 就是喜不喜欢这个事
[02:48:10--02:48:13] 他他不需要什么逻辑
[02:48:13--02:48:15] 你没有那个感觉就是没有爱对吧
[02:48:15--02:48:20] 或者说我用一个最通俗最最大最大大实话的话
[02:48:20--02:48:22] 这公司的所有钱如果亏在这件事情上
[02:48:22--02:48:24] 你认不认
[02:48:24--02:48:25] 我当时做那些事的时候
[02:48:25--02:48:27] 我非常明确知道我绝对不认
[02:48:27--02:48:28] 你说游戏吗
[02:48:28--02:48:30] 不是就是之前那些应用的探索
[02:48:30--02:48:31] 我做之前我就知道
[02:48:31--02:48:33] 如果公司的钱亏在这事上了
[02:48:33--02:48:34] 我绝对不认
[02:48:34--02:48:37] 所以这也是为什么探索这些事的时候
[02:48:37--02:48:38] 我们非常收着
[02:48:38--02:48:40] 不管是从钱上
[02:48:40--02:48:44] 团队的心力的加班这个程度一定要控制住等等
[02:48:44--02:48:49] 但agent我自己有一个明显的感觉啊
[02:48:49--02:48:53] 这个如果说所有钱输在这把上了
[02:48:53--02:48:55] 那我可以接受
[02:48:55--02:48:57] 那这个感觉还挺不一样
[02:48:57--02:48:59] 你自己的精神状态就很不一样
[02:48:59--02:49:00] 你就知道啊我要all in了
[02:49:00--02:49:02] 我要all in这个事情
[02:49:03--02:49:04] 嗯
[02:49:04--02:49:06] PPT这事亏空了你们公司
[02:49:06--02:49:09] 把你们公司的钱都亏光你愿意吗
[02:49:09--02:49:11] 纯PPT肯定不愿意
[02:49:11--02:49:12] 纯PPT肯定不愿意
[02:49:12--02:49:18] 但是其实你看说回我最开始那个愿景的问题
[02:49:18--02:49:21] 我说我想给自己做AI朋友
[02:49:21--02:49:22] 但说实话
[02:49:22--02:49:24] 新缅的这个朋友肯定不是我想要的
[02:49:24--02:49:26] 就至少不是我的朋友
[02:49:26--02:49:29] 对不是我的朋友对吧
[02:49:29--02:49:33] 我觉得Docky背后的我想做一个帮我突破我的目的
[02:49:33--02:49:35] 突破我能力边界的朋友
[02:49:35--02:49:38] 这就是我想要的朋友
[02:49:38--02:49:44] 所以在给我造一个突破我本人能力边界的朋友
[02:49:44--02:49:46] 这件事上亏光所有钱
[02:49:46--02:49:50] 我是可以的
[02:49:50--02:49:52] 就是回到那个创业初期目标
[02:49:52--02:49:53] 那个就是那个那个出发点
[02:49:53--02:49:54] 那个问题嘛
[02:49:54--02:49:57] 就因为我亏光了这个事
[02:49:57--02:49:58] 只有两个呢
[02:49:58--02:49:59] 一个是我做成了
[02:49:59--02:50:00] 那当然很好
[02:50:00--02:50:01] 对吧
[02:50:01--02:50:02] 我没做成
[02:50:02--02:50:04] 那一定是因为竞争输了
[02:50:04--02:50:04] 因为我相信这个事
[02:50:04--02:50:05] 一定会发生
[02:50:05--02:50:07] 就一定有人能做成这件事
[02:50:07--02:50:12] 一定有人能给我做出一个突破我本人边界的AI朋友的
[02:50:12--02:50:14] 一定可以有人做出
[02:50:14--02:50:15] 那这个就
[02:50:15--02:50:16] 那就算亏光了
[02:50:16--02:50:18] 那你也认嘛
[02:50:18--02:50:20] 那就有人做成了
[02:50:20--02:50:23] 这个事是你愿意bats且亏光公司所有钱的
[02:50:23--02:50:27] 且就算真的万一万一不是我做成了
[02:50:27--02:50:30] 你也心里接受
[02:50:30--02:50:32] 对我也不觉得这次创业很
[02:50:32--02:50:34] 就是回到那个创业
[02:50:34--02:50:36] 为什么会就上次创业嘛
[02:50:36--02:50:37] 就是很很迷茫
[02:50:37--02:50:38] 就为什么要创业
[02:50:38--02:50:41] 我今天就在这事就不迷茫了
[02:50:41--02:50:43] 就只要我只要我见证到这个事发生了
[02:50:43--02:50:46] 这个突破我能力边界的朋友发生了
[02:50:46--02:50:48] 那我觉得就值了
[02:50:48--02:50:50] 现在你们哪款产品在做这个
[02:50:50--02:50:51] 就Doki啊
[02:50:51--02:50:53] Doki在做AI朋友
[02:50:53--02:50:57] Doki在做帮我突破能力边界的agent
[02:50:57--02:51:01] 这就是我认为我我将来的希望的朋友的这个作用
[02:51:01--02:51:02] 他也是一个朋友啊
[02:51:02--02:51:04] 现在还没有体现出这一点
[02:51:04--02:51:05] 我未来会这么做
[02:51:05--02:51:06] 对我未来会这么做
[02:51:06--02:51:08] 所以PPT只是他的第一步是吗
[02:51:08--02:51:11] 我不能只用PPT来认识这个产品
[02:51:11--02:51:13] 对对肯定他不会一直做PPT嘛
[02:51:13--02:51:14] 对对对
[02:51:14--02:51:16] 所以你这个也是一个人格化的东西
[02:51:16--02:51:17] 现在不是
[02:51:17--02:51:18] 但我觉得最终是
[02:51:18--02:51:21] 因为我们现在解决的核心问题
[02:51:21--02:51:23] 肯定还是解决功能性的问题
[02:51:23--02:51:27] 就是你看我callback一下之前讨论那个问题啊
[02:51:27--02:51:30] 就是你看朋友这个事很难
[02:51:30--02:51:31] 单独只为你提供情绪价值
[02:51:31--02:51:33] 或者叫人格化也好
[02:51:33--02:51:34] 或者叫陪伴也好
[02:51:34--02:51:34] 对吧
[02:51:34--02:51:35] 你很难单独提供这个价值
[02:51:35--02:51:37] 为什么不能只提供情绪价值
[02:51:37--02:51:39] 你比如你交一个男朋友
[02:51:39--02:51:42] 他只给你提供情绪价值可以吗
[02:51:42--02:51:43] 真的说你想你想象一下
[02:51:43--02:51:45] 他没有任何实用价值
[02:51:45--02:51:50] 有人会找这样的男朋友或者女朋友吗
[02:51:50--02:51:51] 我没我没见到过
[02:51:51--02:51:53] 好像没太见到过
[02:51:53--02:51:54] 对反过来说
[02:51:54--02:51:55] 如果有一个朋友
[02:51:55--02:51:57] 或者叫不咱们先不说他叫不叫朋友吧
[02:51:57--02:52:00] 有一个人给你提供很多实用价值
[02:52:00--02:52:01] 他总帮你忙
[02:52:01--02:52:04] 或者说稳定帮你解决一类问题吧
[02:52:04--02:52:07] 我觉得他也是你的朋友
[02:52:07--02:52:08] 他就是他最后一定会成为你的朋友
[02:52:08--02:52:10] 我们习惯于叫这个叫工具
[02:52:10--02:52:12] 是是是
[02:52:12--02:52:13] 做产品来说
[02:52:13--02:52:16] 是那是因为他确实不做任何人格化的
[02:52:16--02:52:19] 或者说他跟你的交互形式也有一些关系
[02:52:19--02:52:21] 比如你就是跟他点点点对吧
[02:52:21--02:52:22] 帮你解决一些问题
[02:52:22--02:52:23] 这就是点点点
[02:52:23--02:52:25] 但我在做agent的时候会有一个感觉
[02:52:25--02:52:28] 就是是我在跟他交流
[02:52:28--02:52:30] 他在干不是我在干
[02:52:30--02:52:33] 这就有点不太一样了
[02:52:33--02:52:34] 哦
[02:52:34--02:52:35] 不知道你有没有这种感觉
[02:52:35--02:52:37] 就你包括我你用minus
[02:52:37--02:52:37] 你肯定用过嘛
[02:52:37--02:52:38] 对吧
